field1,field2,field3,field4,field5,field6,_GC_TYPE,_X,_Y
서울교통공사,3호선,불광,서울특별시 은평구 대조동 14-1,서울특별시 은평구 통일로 지하 723-1 3호선,,정,126.92998545003249,37.61020679435526
서울교통공사,3호선,금호,서울특별시 성동구 금호동4가 1470,서울특별시 성동구 동호로 지하 104,,정,127.01589430655103,37.5481127701227
서울교통공사,3호선,옥수,서울특별시 성동구 옥수동 168-1,서울특별시 성동구 동호로 지하 21,,정,127.01832956430451,37.54104621812165
서울교통공사,3호선,매봉,서울특별시 강남구 도곡동 179-2,서울특별시 강남구 남부순환로 지하 2744,,정,127.04661399210418,37.48696049843832
서울교통공사,3호선,충무로,서울특별시 중구 필동2가 16-2,서울특별시 중구 퇴계로 지하199,,정,126.99411058207492,37.5611721345071
서울교통공사,3호선,안국,서울특별시 종로구 안국동 155-2,서울특별시 종로구 율곡로 지하62,,정,126.98582311915003,37.576720617449126
서울교통공사,3호선,지축,경기도 고양시 덕양구 지축동 818-64,경기도 고양시 덕양구 삼송로 300,,정,126.90994380984299,37.64976700438799
서울교통공사,3호선,을지로3가,서울특별시 중구 을지로3가 282-8,서울특별시 중구 을지로 지하 129,,정,126.99313630426037,37.568027522821225
서울교통공사,3호선,경복궁(정부서울청사),서울특별시 종로구 적선동 81-1,서울특별시 종로구 사직로 지하 130,,정,126.97306310956066,37.57586125024215
서울교통공사,3호선,압구정,서울특별시 강남구 신사동 668,서울특별시 강남구 압구정로 지하 172,,정,127.02848063007934,37.52643027775898
서울교통공사,3호선,동대입구,서울특별시 중구 장충동2가 199-3,서울특별시 중구 동호로 지하 256,,정,127.00546038130757,37.559029944227404
서울교통공사,3호선,도곡,서울특별시 강남구 도곡동 339-2,서울특별시 강남구 남부순환로 지하 2814,,정,127.05532327687071,37.4908640449986
서울교통공사,3호선,대치,서울특별시 강남구 대치동 317-3,서울특별시 강남구 남부순환로 지하 2952,,정,127.06342943606306,37.49456281723167
서울교통공사,3호선,종로3가,서울특별시 종로구 묘동 20-5,서울특별시 종로구 돈화문로 지하 30,,정,126.99223395920698,37.57126637971394
서울교통공사,3호선,잠원,서울특별시 서초구 잠원동 100-1,서울특별시 서초구 잠원로 4길 지하 46,,정,127.01122001991634,37.512799215607586
서울교통공사,3호선,신사,서울특별시 강남구 신사동 667,서울특별시 강남구 도산대로 지하 102,,정,127.02032664296384,37.516432058834795
서울교통공사,3호선,남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30,서울특별시 서초구 서초중앙로 지하 31,,정,127.01620705717663,37.485139931474514
코레일,4호선,선바위,경기도 과천시 과천동 355,경기도 과천시 중앙로 지하440,,정,127.00137173306092,37.45188557613378
서울교통공사,3호선,교대(법원·검찰청),서울특별시 서초구 서초동 1748-4,서울특별시 서초구 서초대로 지하 294,,정,127.01415599727422,37.493577256330084
서울교통공사,3호선,학여울,서울특별시 강남구 대치동 514-3,서울특별시 강남구 남부순환로 지하 3104,,정,127.07171944039949,37.496716767807776
